[2026-07-03_09-37-34] Attempt:   36 | t:    0             | Temperature:  78.8896 | Score: 928982.0000
[2026-07-03_09-37-34] Attempt:   37 | t:    0             | Temperature:  74.9451 | Score: 925721.0000
[2026-07-03_09-37-34] Attempt:   38 | t:    0             | Temperature:  71.1979 | Score: 925721.0000
[2026-07-03_09-37-34] Attempt:   39 | t:    0             | Temperature:  67.6380 | Score: 925721.0000
[2026-07-03_09-37-34] Attempt:   40 | t:    0             | Temperature:  64.2561 | Score: 925721.0000
[2026-07-03_09-37-34] Attempt:   41 | t:    0             | Temperature:  61.0433 | Score: 925721.0000
[2026-07-03_09-37-34] Attempt:   42 | t:    0             | Temperature:  57.9911 | Score: 925721.0000
[2026-07-03_09-37-34] Attempt:   43 | t:    0             | Temperature:  55.0916 | Score: 925721.0000
[2026-07-03_09-37-34] Attempt:   44 | t:    0             | Temperature:  52.3370 | Score: 925110.0000
[2026-07-03_09-37-34] Attempt:   45 | t:    0             | Temperature:  49.7201 | Score: 925110.0000
[2026-07-03_09-37-34] Attempt:   46 | t:    0             | Temperature:  47.2341 | Score: 925126.0000
[2026-07-03_09-37-34] Attempt:   47 | t:    0             | Temperature:  44.8724 | Score: 925174.0000
[2026-07-03_09-37-34] Attempt:   48 | t:    0             | Temperature:  42.6288 | Score: 924301.0000
[2026-07-03_09-37-34] Attempt:   49 | t:    0             | Temperature:  40.4974 | Score: 924301.0000
[2026-07-03_09-37-34] Attempt:   50 | t:    0             | Temperature:  38.4725 | Score: 924301.0000
[2026-07-03_09-48-19] Attempt:    0 | t:    0             | Temperature: 500.0000 | Score: 1883746.0000
[2026-07-03_09-48-19] Attempt:    1 | t:    0             | Temperature: 475.0000 | Score: 1883746.0000
[2026-07-03_09-48-19] Attempt:    2 | t:    0             | Temperature: 451.2500 | Score: 1883342.0000
[2026-07-03_09-48-19] Attempt:    3 | t:    0             | Temperature: 428.6875 | Score: 1883342.0000
[2026-07-03_09-48-19] Attempt:    4 | t:    0             | Temperature: 407.2531 | Score: 1881968.0000
[2026-07-03_09-48-19] Attempt:    5 | t:    0             | Temperature: 386.8905 | Score: 1880971.0000
[2026-07-03_09-48-19] Attempt:    6 | t:    0             | Temperature: 367.5459 | Score: 1880971.0000
[2026-07-03_09-48-19] Attempt:    7 | t:    0             | Temperature: 349.1686 | Score: 1881487.0000
[2026-07-03_09-48-19] Attempt:    8 | t:    0             | Temperature: 331.7102 | Score: 1881487.0000
